const,cast,cast_id,cover_url,genres,plot,rating,title,year
7040874,"Anna Kendrick, Ian Ho, Joshua Satine","['0447695', '9270004', '8616990', '1759939', '0710330', '3080168', '5478103', '9438704', '10087126', '0515116']","https://m.media-amazon.com/images/M/MV5BZjFiMGNiNmItMzNiNi00Mjc1LTg1N2YtNWE2NTE5N2VlZTQ3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX101_CR0,0,101,150_.jpg","Comedy, Crime, Drama","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",6.9,A Simple Favor,2018
1540133,"Ronan Collins, Paraic Nialand, John Patrick Beirne","['2426101', '4961072', '4961338', '4961279', '4961122', '0322407', '0444676', '4961455', '0455663', '4335120']","https://m.media-amazon.com/images/M/MV5BMTY2ODkzMDgwM15BMl5BanBnXkFtZTcwMDA1Mjg1OA@@._V1_SY150_CR0,0,101,150_.jpg","Comedy, Crime, Thriller",An unorthodox Irish policeman with a confrontational personality is partnered with an up-tight F.B.I. agent to investigate an international drug-smuggling ring.,7.3,The Guard,2011
1555149,"Wagner Moura, Irandhir Santos, André Ramiro","['0609944', '2046691', '2386123', '1141101', '0722902', '1179580', '2832458', '2638779', '0560412', '4177614']","https://m.media-amazon.com/images/M/MV5BMjEzMzMxOTUyNV5BMl5BanBnXkFtZTcwNjI3MDc5Ng@@._V1_SY150_CR0,0,101,150_.jpg","Action, Crime, Drama","After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",8.1,Elite Squad: The Enemy Within,2010
4572514,"Mark Wahlberg, Dicky Eklund Jr., Michael Marchand","['0000242', '5352674', '2200128', '3246446', '0000422', '4975544', '6845634', '3014031', '4917623', '7093076']","https://m.media-amazon.com/images/M/MV5BODYxMDc0NTg2Nl5BMl5BanBnXkFtZTgwNjY0NDYzOTE@._V1_SX101_CR0,0,101,150_.jpg","Action, Crime, Drama","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",7.4,Patriots Day,2016
463034,"Owen Wilson, Kate Hudson, Matt Dillon","['0005562', '0005028', '0000369', '0000140', '0736622', '0221902', '2110481', '0823693', '0352778', '0035790']","https://m.media-amazon.com/images/M/MV5BMTUxOTg0MzczOV5BMl5BanBnXkFtZTcwODk1MTQzMQ@@._V1_SY150_CR0,0,101,150_.jpg","Comedy, Romance","A best man (Wilson) stays on as a houseguest with the newlyweds, much to the couple's annoyance.",5.6,"You, Me and Dupree",2006
101700,"Pascal Benezech, Dominique Pinon, Marie-Laure Dougnac","['0070991', '0684500', '0235342', '0237835', '0895759', '0390458', '0685373', '0417508', '0865313', '0449165']","https://m.media-amazon.com/images/M/MV5BNjg5ZDM0MTEtYTZmNC00NDJiLWI5MTktYzk4N2QxY2IxZTc2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SY150_CR5,0,101,150_.jpg","Comedy, Crime",Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,7.7,Delicatessen,1991
132477,"Jake Gyllenhaal, Chris Cooper, Laura Dern","['0350453', '0177933', '0000368', '0654104', '0005406', '0511349', '0133882', '0587238', '0834616', '0254760']","https://m.media-amazon.com/images/M/MV5BYTFkOGU0ZTktMjAwZi00OTIzLTgxOTMtZWJmOWFmOThhNWZkXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_SX101_CR0,0,101,150_.jpg","Biography, Drama, Family","The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",7.8,October Sky,1999
48424,"Robert Mitchum, Shelley Winters, Lillian Gish","['0000053', '0001859', '0001273', '0322299', '0889537', '0336335', '0065975', '0152159', '0115579', '0145082']","https://m.media-amazon.com/images/M/MV5BYTNjN2M2MzYtZGEwMi00Mzc5LWEwYTMtODM1ZmRiZjFiNTU0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX101_CR0,0,101,150_.jpg","Crime, Drama, Film-Noir","A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid $10,000 he'd stolen in a robbery.",8.0,The Night of the Hunter,1955
1418377,"Aaron Eckhart, Yvonne Strahovski, Miranda Otto","['0001173', '2088803', '0001584', '0631490', '2541974', '1263928', '0949237', '1466205', '2054113', '1073367']","https://m.media-amazon.com/images/M/MV5BMjM3Mzk2MDU3N15BMl5BanBnXkFtZTgwMzg1NTI4MDE@._V1_SY150_CR0,0,101,150_.jpg","Action, Fantasy, Horror","Frankenstein's creature finds himself caught in an all-out, centuries old war between two immortal clans.",5.1,"I, Frankenstein",2014
384680,"Nicolas Cage, Michael Caine, Hope Davis","['0000115', '0000323', '0204706', '0478810', '0396558', '0728346', '0004743', '0566282', '1706644', '1795428']","https://m.media-amazon.com/images/M/MV5BMTQ4NzAxMTE3Ml5BMl5BanBnXkFtZTYwMDAwMjY3._V1_SX101_CR0,0,101,150_.jpg","Comedy, Drama","A Chicago weather man, separated from his wife and children, debates whether professional and personal success are mutually exclusive.",6.6,The Weather Man,2005
